ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
BOOK#REFERENCE	The Rival Painters: A Tale of Rome	literary work		
BOOK#REFERENCE	The Ruins: or a Survey of the Revolutions of Empires	literary work		
BOOK#REFERENCE	The School for Scandal	dramatic work		
BOOK#REFERENCE	The Sea Lion	literary work		
BOOK#REFERENCE	The Sea Lions	literary work		
BOOK#REFERENCE	The Star	version, edition, or translation		
BOOK#REFERENCE	The Steadfast Tin Soldier	fairy tale		
BOOK#REFERENCE	The Taming of the Shrew	dramatic work		
BOOK#REFERENCE	The Toodles: Or, The Farmer's Daughter of the Severn Side	literary work		
BOOK#REFERENCE	The Tragical History of Doctor Faustus	literary work		
BOOK#REFERENCE	The Vicar of Wakefield	literary work		
BOOK#REFERENCE	The Wide, Wide World	literary work		
BOOK#REFERENCE	The Works of Ossian	literary work		
BOOK#REFERENCE	The Young Housekeeper's Friend	written work		
BOOK#REFERENCE	The sorrows of young Werther	diary literature		
BOOK#REFERENCE	Theopompus	human		
BOOK#REFERENCE	Three Little Kittens	poem		
BOOK#REFERENCE	To An Athlete Dying Young	poem		
BOOK#REFERENCE	Tom Brown's School Days	literary work		
BOOK#REFERENCE	Treasure Island	literary work		
BOOK#REFERENCE	Trees	poem		
BOOK#REFERENCE	Ulysses	literary work		
BOOK#REFERENCE	Wallenstein's Death	literary work		
BOOK#REFERENCE	Whistler's Mother	painting		
BOOK#REFERENCE	William Shakespeare	human		
BOOK#REFERENCE	Yorick and the Grisette	painting		
BOOK#REFERENCE	canon of Sherlock Holmes	bibliography		
BOOK#REFERENCE	here be dragons	Latin phrase		
BOOK#REFERENCE	philosopher's stone	literary work		
BOOK#REFERENCE	psychoanalysis	specialty		
BOOK#TITLE	16 Lighthouse Road	title		
BOOK#TITLE	4:50 from Paddington	title		
BOOK#TITLE	A Brief History of Time	title		
BOOK#TITLE	A Child's History of England	title		
BOOK#TITLE	A Christmas Carol	title		
BOOK#TITLE	A Clash of Kings	title		
BOOK#TITLE	A Clockwork Orange	title		
BOOK#TITLE	A Connecticut Yankee in King Arthur's Court	title		
BOOK#TITLE	A Doll's House	title		
BOOK#TITLE	A Feast for Crows	title		
BOOK#TITLE	A Final Reckoning	title		
BOOK#TITLE	A Game of Thrones	title		
BOOK#TITLE	A Little Princess	title		
BOOK#TITLE	A Long Way Gone	title		
BOOK#TITLE	A Midsummer Night's Dream	title		
BOOK#TITLE	A People's History of the United States	title		
BOOK#TITLE	A Portrait of the Artist as a Young Man	title		
BOOK#TITLE	A Princess of Mars	title		
BOOK#TITLE	A Prisoner of Birth	title		
BOOK#TITLE	A Room of One's Own	title		
BOOK#TITLE	A Room with a View	title		
BOOK#TITLE	A Storm of Swords	title		
BOOK#TITLE	A Study in Scarlet	title		
BOOK#TITLE	A Tale of Two Cities	title		
BOOK#TITLE	A Thousand Splendid Suns	title		
BOOK#TITLE	A Vindication of Rights of Woman	title		
BOOK#TITLE	A Walk in the Woods	title		
BOOK#TITLE	A history of New York	title		
BOOK#TITLE	A strange disappearance	title		
BOOK#TITLE	A town like Alice	title		
BOOK#TITLE	Acres of diamonds	title		
BOOK#TITLE	Adventures of Huckleberry Finn	title		
BOOK#TITLE	Age of fable	title		
BOOK#TITLE	Alice's Adventures in Wonderland	title		
BOOK#TITLE	Alice's Adventures in Wonderland / Through the Looking Glass	title		
BOOK#TITLE	All the Light We Cannot See	title		
BOOK#TITLE	All's Well That Ends Well	title		
BOOK#TITLE	Amazing Grace	title		
BOOK#TITLE	American Gods	title		
BOOK#TITLE	American notes	title		
BOOK#TITLE	An English translation of Parsifal, the sacred festival drama by Richard Wagner	title		
BOOK#TITLE	An Old-Fashioned Girl	title		
BOOK#TITLE	An autobiography	title		
BOOK#TITLE	And Then There Were None	title		
BOOK#TITLE	And the Mountains Echoed	title		
BOOK#TITLE	Animal Farm	title		
BOOK#TITLE	Aphrodite (ancient manners)	title		
BOOK#TITLE	Arms and the Man	title		
BOOK#TITLE	Artemis Fowl and the Arctic Incident	title		
BOOK#TITLE	Artemis Fowl and the Eternity Code	title		
BOOK#TITLE	Artemis Fowl. The Lost Colony	title		
BOOK#TITLE	Artemis Fowl. The Opal Deception	title		
BOOK#TITLE	As You Like It	title		
BOOK#TITLE	At Fault	title		
BOOK#TITLE	At Home	title		
BOOK#TITLE	At The Earth's Core And Out Of Time's Abyss	title		
BOOK#TITLE	Autobiography	title		
BOOK#TITLE	Autobiography of a Yogi	title		
BOOK#TITLE	Autobiography of an Ex-Colored Man	title		
BOOK#TITLE	Back on Blossom Street	title		
BOOK#TITLE	Back to Methuselah	title		
BOOK#TITLE	Bad Luck and Trouble	title		
BOOK#TITLE	Barchester Towers	title		
BOOK#TITLE	Becoming	title		
BOOK#TITLE	Beloved	title		
BOOK#TITLE	Between the Acts	title		
BOOK#TITLE	Big Nate	title		
BOOK#TITLE	Bleak House	title		
BOOK#TITLE	Book of common prayer	title		
BOOK#TITLE	Bracebridge Hall	title		
BOOK#TITLE	Brave New World	title		
BOOK#TITLE	Breaking Dawn	title		
BOOK#TITLE	Brida	title		
BOOK#TITLE	Bring Up the Bodies	title		
BOOK#TITLE	Burning Daylight	title		
BOOK#TITLE	Bury My Heart at Wounded Knee	title		
BOOK#TITLE	Captains Courageous	title		
BOOK#TITLE	Captivity and Restoration	title		
BOOK#TITLE	Catch-22	title		
BOOK#TITLE	Catching Fire	title		
BOOK#TITLE	Cell	title		
BOOK#TITLE	Charlie and the Chocolate Factory	title		
BOOK#TITLE	Childhood Annotated	title		
BOOK#TITLE	Christmas Books (Battle of Life / Chimes / Christmas Carol / Cricket on the Hearth / Haunted Man)	title		
BOOK#TITLE	Christmas Carol	title		
BOOK#TITLE	Commentaries on the laws of England	title		
BOOK#TITLE	Committed	title		
BOOK#TITLE	Cranford	title		
BOOK#TITLE	Cross	title		
BOOK#TITLE	Dark Places	title		
BOOK#TITLE	Daughter of Smoke and Bone	title		
BOOK#TITLE	David Copperfield	title		
BOOK#TITLE	Dead Until Dark (Sookie Stackhouse, #1)	title		
BOOK#TITLE	Death Comes for the Archbishop	title		
BOOK#TITLE	Death comes to Pemberley	title		
BOOK#TITLE	Death on the Nile	title		
BOOK#TITLE	Deception Point	title		
BOOK#TITLE	Democracy	title		
BOOK#TITLE	Dialogues Concerning Natural Religion	title		
BOOK#TITLE	Diana, Her True Story	title		
BOOK#TITLE	Die Trying	title		
BOOK#TITLE	Divina Commedia	title		
BOOK#TITLE	Dog Days	title		
BOOK#TITLE	Dombey and Son	title		
BOOK#TITLE	Dorothy and the Wizard in Oz	title		
BOOK#TITLE	Dreams from My Father	title		
BOOK#TITLE	Drop Shot	title		
BOOK#TITLE	Dubliners	title		
BOOK#TITLE	Duma Key	title		
BOOK#TITLE	Eat, Pray, Love	title		
BOOK#TITLE	Echo Burning	title		
BOOK#TITLE	Edge of Eternity	title		
BOOK#TITLE	Educated	title		
BOOK#TITLE	Elizabeth and Her German Garden	title		
BOOK#TITLE	Emile or Education	title		
BOOK#TITLE	Ender's Game	title		
BOOK#TITLE	Essay concerning human understanding	title		
BOOK#TITLE	Esther Waters, a novel	title		
BOOK#TITLE	Fairy Tales and Stories	title		
BOOK#TITLE	Fall of Giants	title		
BOOK#TITLE	Familiar quotations; a collection of passages, phrases, and proverbs traced to their sources in ancient and modern literature	title		
BOOK#TITLE	Family ties	title		
BOOK#TITLE	Fantastic Mr Fox	title		
BOOK#TITLE	Far From the Madding Crowd	title		
BOOK#TITLE	Feet of Clay	title		
BOOK#TITLE	Fifty Shades Freed	title		
BOOK#TITLE	Fifty Shades of Grey	title		
BOOK#TITLE	Finders Keepers	title		
BOOK#TITLE	Five Children and It	title		
BOOK#TITLE	Flappers and Philosophers	title		
BOOK#TITLE	Flower Fables	title		
BOOK#TITLE	For Whom the Bell Tolls	title		
BOOK#TITLE	Framley Parsonage	title		
BOOK#TITLE	France at War: On the Frontier of Civilization	title		
BOOK#TITLE	Frankenstein or The Modern Prometheus	title		
BOOK#TITLE	Frog and Toad Are Friends	title		
BOOK#TITLE	Full Dark, No Stars	title		
BOOK#TITLE	Further chronicles of Avonlea	title		
BOOK#TITLE	Germinal	title		
BOOK#TITLE	Go Set A Watchman	title		
BOOK#TITLE	Goldsmith's The vicar of Wakefield	title		
BOOK#TITLE	Gone Girl	title		
BOOK#TITLE	Gone With the Wind	title		
BOOK#TITLE	Good Omens	title		
BOOK#TITLE	Goodnight Moon	title		
BOOK#TITLE	Gratitude Journal for Kids	title		
BOOK#TITLE	Great Expectations	title		
BOOK#TITLE	Greenmantle	title		
BOOK#TITLE	Guards! Guards!	title		
BOOK#TITLE	Gulliver's Travels	title		
BOOK#TITLE	H Is for Hawk	title		
BOOK#TITLE	Hard Times	title		
BOOK#TITLE	Harry Potter and the Chamber of Secrets	title		
BOOK#TITLE	Harry Potter and the Deathly Hallows	title		
BOOK#TITLE	Harry Potter and the Goblet of Fire	title		
BOOK#TITLE	Harry Potter and the Half-Blood Prince	title		
BOOK#TITLE	Harry Potter and the Order of the Phoenix	title		
BOOK#TITLE	Harry Potter and the Philosopher's Stone	title		
BOOK#TITLE	Harry Potter and the Prisoner of Azkaban	title		
BOOK#TITLE	Hateship, Friendship, Courtship, Loveship, Marriage	title		
BOOK#TITLE	Have a little faith	title		
BOOK#TITLE	Heart of Darkness	title		
BOOK#TITLE	His Last Bow [8 stories]	title		
BOOK#TITLE	History	title		
BOOK#TITLE	History of the Decline and Fall of the Roman Empire Complete and Unabridged	title		
BOOK#TITLE	Hold the dream	title		
BOOK#TITLE	Homegoing	title		
BOOK#TITLE	Honor Thyself	title		
BOOK#TITLE	Hospital Sketches	title		
BOOK#TITLE	How to train your dragon	title		
BOOK#TITLE	Huntingtower	title		
BOOK#TITLE	I Know Why the Caged Bird Sings	title		
BOOK#TITLE	Idle Thoughts of an Idle Fellow	title		
BOOK#TITLE	Imitation of Christ	title		
BOOK#TITLE	In the Days of Drake	title		
BOOK#TITLE	In the Heart of the Sea	title		
BOOK#TITLE	Incidents in the life of a slave girl	title		
BOOK#TITLE	Island of Sheep, the	title		
BOOK#TITLE	It	title		
BOOK#TITLE	It Ends With Us	title		
BOOK#TITLE	Jack and Jill: a village story	title		
BOOK#TITLE	Jacob's Room	title		
BOOK#TITLE	James and the Giant Peach	title		
BOOK#TITLE	Jo's Boys	title		
BOOK#TITLE	Jude the Obscure	title		
BOOK#TITLE	Just After Sunset	title		
BOOK#TITLE	Just So Stories	title		
BOOK#TITLE	Just kids	title		
BOOK#TITLE	Kenilworth	title		
BOOK#TITLE	Kidnapped	title		
BOOK#TITLE	Killing floor	title		
BOOK#TITLE	King Henry IV. Part 1	title		
BOOK#TITLE	King Henry IV. Part 2	title		
BOOK#TITLE	King Henry VI. Part 1	title		
BOOK#TITLE	King Henry VI. Part 2	title		
BOOK#TITLE	King Henry VI. Part 3	title		
BOOK#TITLE	King Henry VIII	title		
BOOK#TITLE	King Richard II	title		
BOOK#TITLE	Leaves of Grass	title		
BOOK#TITLE	Life of Pi	title		
BOOK#TITLE	Life of Samuel Johnson	title		
BOOK#TITLE	Life on the Mississippi	title		
BOOK#TITLE	Light a Penny Candle	title		
BOOK#TITLE	Little Dorrit	title		
BOOK#TITLE	Little Lord Fauntleroy	title		
BOOK#TITLE	Little Women	title		
BOOK#TITLE	Little men	title		
BOOK#TITLE	Lives	title		
BOOK#TITLE	Long Walk to Freedom	title		
BOOK#TITLE	Lord of Flies	title		
BOOK#TITLE	Lorna Doone (Classics)	title		
BOOK#TITLE	Love's Labour's Lost	title		
BOOK#TITLE	Loving	title		
BOOK#TITLE	Luo ye gui gen (Falling Leaves)	title		
BOOK#TITLE	MAIN STREET	title		
BOOK#TITLE	Man and Superman	title		
BOOK#TITLE	Mansfield Park	title		
BOOK#TITLE	Maria; or, The Wrongs of Woman	title		
BOOK#TITLE	Mayor of Casterbridge	title		
BOOK#TITLE	McTeague	title		
BOOK#TITLE	Me Before You	title		
BOOK#TITLE	Measure for Measure	title		
BOOK#TITLE	Meditations	title		
BOOK#TITLE	Memoirs of Fanny Hill	title		
BOOK#TITLE	Memoirs of Sherlock Holmes [11 stories]	title		
BOOK#TITLE	Metamorphoses	title		
BOOK#TITLE	Middlemarch	title		
BOOK#TITLE	Milton's Poems	title		
BOOK#TITLE	Much Ado About Nothing	title		
BOOK#TITLE	Murder on the Links	title		
BOOK#TITLE	Murder on the Orient Express	title		
BOOK#TITLE	My Sister's Keeper	title		
BOOK#TITLE	My Ántonia	title		
BOOK#TITLE	NEVER GO BACK	title		
BOOK#TITLE	Narrative of the life of Frederick Douglass	title		
BOOK#TITLE	Nation	title		
BOOK#TITLE	Never Cry Wolf	title		
BOOK#TITLE	Never Let Me Go	title		
BOOK#TITLE	Neverwhere	title		
BOOK#TITLE	New Moon	title		
BOOK#TITLE	News from Nowhere, or, An epoch of rest	title		
BOOK#TITLE	Night Watch	title		
BOOK#TITLE	Night and Day	title		
BOOK#TITLE	Nighttime Is My Time	title		
BOOK#TITLE	Nineteen Eighty-Four	title		
BOOK#TITLE	Northern Lights	title		
BOOK#TITLE	Of Human Bondage	title		
BOOK#TITLE	Of Mice and Men	title		
BOOK#TITLE	On Chesil Beach	title		
BOOK#TITLE	On Liberty	title		
BOOK#TITLE	On The Beach	title		
BOOK#TITLE	On The Road	title		
BOOK#TITLE	On Writing	title		
BOOK#TITLE	On the origin of species by means of natural selection	title		
BOOK#TITLE	One Shot	title		
BOOK#TITLE	One for the Money	title		
BOOK#TITLE	Only Time Will Tell	title		
BOOK#TITLE	Othello	title		
BOOK#TITLE	Our American hero	title		
BOOK#TITLE	Our Mutual Friend	title		
BOOK#TITLE	Ozma of Oz	title		
BOOK#TITLE	Paper towns	title		
BOOK#TITLE	Paul Klee	title		
BOOK#TITLE	Philosophical essays concerning human understanding	title		
BOOK#TITLE	Pickwick Papers	title		
BOOK#TITLE	Pirate Latitudes	title		
BOOK#TITLE	Plain tales from the hills	title		
BOOK#TITLE	Plays (36)	title		
BOOK#TITLE	Poems by John Keats	title		
BOOK#TITLE	Poirot investigates	title		
BOOK#TITLE	Pollyanna Grows Up	title		
BOOK#TITLE	Prester John	title		
BOOK#TITLE	Principles of internal medicine	title		
BOOK#TITLE	Puck of Pook's Hill	title		
BOOK#TITLE	Pygmalion	title		
BOOK#TITLE	Quentin Durward, or, The fortunate Scotsman	title		
BOOK#TITLE	Rainbow Valley	title		
BOOK#TITLE	Ready Player One	title		
BOOK#TITLE	Rewards and fairies	title		
BOOK#TITLE	Rights of Man	title		
BOOK#TITLE	Rime of the ancient mariner	title		
BOOK#TITLE	Rising Sun	title		
BOOK#TITLE	Rodrick Rules	title		
BOOK#TITLE	Room	title		
BOOK#TITLE	Roughing It	title		
BOOK#TITLE	Rubaiyat of Omar Khayyam	title		
BOOK#TITLE	Run for your life	title		
BOOK#TITLE	Rupert of Hentzau [by] Anthony Hope [pseud.] being the sequel to a story by the same writer, entitled The prisoner of Zenda	title		
BOOK#TITLE	Sailing alone around the world	title		
BOOK#TITLE	Saint Francis of Assisi	title		
BOOK#TITLE	Salute to Adventurers	title		
BOOK#TITLE	Sense and Sensibility	title		
BOOK#TITLE	Seven pillars of wisdom, a triumph	title		
BOOK#TITLE	Sharp Objects	title		
BOOK#TITLE	She	title		
BOOK#TITLE	She Stoops To Conquer	title		
BOOK#TITLE	Six of Crows	title		
BOOK#TITLE	Sketches by Boz	title		
BOOK#TITLE	Song of Solomon	title		
BOOK#TITLE	Sons and Lovers	title		
BOOK#TITLE	Speaker for the Dead	title		
BOOK#TITLE	Split Second	title		
BOOK#TITLE	Spoon River Anthology	title		
BOOK#TITLE	Stalky and Co	title		
BOOK#TITLE	State of Fear	title		
BOOK#TITLE	Steve Jobs	title		
BOOK#TITLE	Stone Cold	title		
BOOK#TITLE	Study Guide	title		
BOOK#TITLE	Summa Theologica	title		
BOOK#TITLE	Sybil, or, The Two Nations	title		
BOOK#TITLE	Sylvie and Bruno	title		
BOOK#TITLE	Tales from Shakespeare [20 tales]	title		
BOOK#TITLE	Tales of my landlord, Second series. The Heart of Mid-Lothian	title		
BOOK#TITLE	Tales of the Jazz Age	title		
BOOK#TITLE	Tarzan of the Apes	title		
BOOK#TITLE	Telegraph Avenue	title		
BOOK#TITLE	Tender is the Night	title		
BOOK#TITLE	The  black arrow	title		
BOOK#TITLE	The  light that failed	title		
BOOK#TITLE	The A.B.C. Murders	title		
BOOK#TITLE	The Admirable Crichton	title		
BOOK#TITLE	The Adventures of Gerard	title		
BOOK#TITLE	The Adventures of Sherlock Holmes [12 stories]	title		
BOOK#TITLE	The Adventures of Tom Sawyer	title		
BOOK#TITLE	The Affair	title		
BOOK#TITLE	The Age of Innocence	title		
BOOK#TITLE	The Alchemist	title		
BOOK#TITLE	The Alchemist, 1612	title		
BOOK#TITLE	The Alhambra	title		
BOOK#TITLE	The Alibi	title		
BOOK#TITLE	The Amber Spyglass	title		
BOOK#TITLE	The American	title		
BOOK#TITLE	The Appeal	title		
BOOK#TITLE	The Art of War	title		
BOOK#TITLE	The BFG	title		
BOOK#TITLE	The Barrack-Room Ballads of Rudyard Kipling	title		
BOOK#TITLE	The Beautiful and Damned	title		
BOOK#TITLE	The Bell Jar	title		
BOOK#TITLE	The Bluest Eye	title		
BOOK#TITLE	The Book Thief	title		
BOOK#TITLE	The Bostonians	title		
BOOK#TITLE	The Boy in the Striped Pyjamas	title		
BOOK#TITLE	The Brief Wondrous Life of Oscar Wao	title		
BOOK#TITLE	The Buried Giant	title		
BOOK#TITLE	The Call of the Wild	title		
BOOK#TITLE	The Carrie diaries	title		
BOOK#TITLE	The Case-Book of Sherlock Holmes	title		
BOOK#TITLE	The Castle of Otranto	title		
BOOK#TITLE	The Casual Vacancy	title		
