ASPECT	VALUE	TYPE	DOLCE
BOOK#AUTHOR	Stephen King	human	Person
BOOK#AUTHOR	Thomas More	human	Person
BOOK#AUTHOR	Thomas Paine	human	Person
BOOK#AUTHOR	Upton Sinclair	human	Person
BOOK#AUTHOR	Walt Whitman	human	Person
BOOK#AUTHOR	Walter Scott	human	Person
BOOK#AUTHOR	Willa Cather	human	Person
BOOK#AUTHOR	William Makepeace Thackeray	human	Person
BOOK#AUTHOR	William Shakespeare	human	Person
BOOK#AUTHOR	Winston Churchill	human	Person
BOOK#AWARD	20th Century's Greatest Hits: 100 English-Language Books of Fiction	list of best books	SocialObject
BOOK#AWARD	ALA Notable Books for Children	award	SocialObject
BOOK#AWARD	Arthur C. Clarke Award	science fiction award	SocialObject
BOOK#AWARD	Audie Award	award	SocialObject
BOOK#AWARD	Believer Book Award	award	SocialObject
BOOK#AWARD	Best foreign work published in Spain	comics award	SocialObject
BOOK#AWARD	Bob Morane Prize for best foreign novel	class of award	SocialObject
BOOK#AWARD	Booker Prize	literary award	SocialObject
BOOK#AWARD	Bram Stoker Award for Best Fiction Collection	literary award	SocialObject
BOOK#AWARD	Bram Stoker Award for Best First Novel	award for best book	SocialObject
BOOK#AWARD	Bram Stoker Award for Novel	literary award	SocialObject
BOOK#AWARD	Corine Literature Prize	literary award	SocialObject
BOOK#AWARD	Dorothy Canfield Fisher Children's Book Award	award	SocialObject
BOOK#AWARD	Exclusive Books Boeke Prize	award	SocialObject
BOOK#AWARD	Goodreads Choice Award for Best Children's Book	Goodreads Choice Awards	SocialObject
BOOK#AWARD	Goodreads Choice Award for Best Young Adult Series	Goodreads Choice Awards	SocialObject
BOOK#AWARD	Governor General's Award for English-language fiction	class of award	SocialObject
BOOK#AWARD	Hugo Award for Best Novel	class of award	SocialObject
BOOK#AWARD	Hugo Award for Best Novella	class of award	SocialObject
BOOK#AWARD	Ignotus Award for Best Foreign Novel	literary award	SocialObject
BOOK#AWARD	International Fantasy Award	literary award	SocialObject
BOOK#AWARD	James Tait Black Memorial Prize	literary award	SocialObject
BOOK#AWARD	Le Monde's 100 Books of the Century	hall of fame	SocialObject
BOOK#AWARD	Locus Award for Best Fantasy Novel	class of award	SocialObject
BOOK#AWARD	Locus Award for Best Young Adult Book	class of award	SocialObject
BOOK#AWARD	Los Angeles Times Book Prize	annual event	SocialObject
BOOK#AWARD	Michael L. Printz Award	literary award	SocialObject
BOOK#AWARD	Modern Library 100 Best Novels	list of best books	SocialObject
BOOK#AWARD	NPR Top 100 Science Fiction and Fantasy Books	literary award	SocialObject
BOOK#AWARD	Nebula Award for Best Novel	Nebula Award	SocialObject
BOOK#AWARD	Nestlé Children's Book Prize	award	SocialObject
BOOK#AWARD	Oprah's Book Club	book club	SocialObject
BOOK#AWARD	Prometheus Award	science fiction award	SocialObject
BOOK#AWARD	Prometheus Award - Hall of Fame	science fiction award	SocialObject
BOOK#AWARD	Pulitzer Prize for Fiction	literary award	SocialObject
BOOK#AWARD	Seiun Award for Best Translated Novel	science fiction award	SocialObject
BOOK#AWARD	The Big Read	list of best books	SocialObject
BOOK#AWARD	The British Book Awards	literary award	SocialObject
BOOK#AWARD	The Stowe Prize for Writing to Advance Social Justice	literary award	SocialObject
BOOK#AWARD	The Top 100 Crime Novels of All Time	list of best books	SocialObject
BOOK#AWARD	Waterstone's Children's Book Prize	literary award	SocialObject
BOOK#AWARD	Women's Prize for Fiction	literary award	SocialObject
BOOK#REFERENCE	A Concent of Scripture	literary work	InformationEntity
BOOK#REFERENCE	A Girl of the Limberlost	written work	InformationEntity
BOOK#REFERENCE	A Midsummer Night's Dream	dramatic work	InformationEntity
BOOK#REFERENCE	A Murder Is Announced	literary work	InformationEntity
BOOK#REFERENCE	A Portrait of the Artist as a Young Man	literary work	InformationEntity
BOOK#REFERENCE	A Sentimental Journey Through France and Italy	written work	InformationEntity
BOOK#REFERENCE	Acts 9	chapter of the Bible	InformationEntity
BOOK#REFERENCE	Alice's Adventures in Wonderland	literary work	InformationEntity
BOOK#REFERENCE	Angelica's tears	poem	InformationEntity
BOOK#REFERENCE	Aristotle	human	Person
BOOK#REFERENCE	Arsène Lupin literary series	book series	InformationEntity
BOOK#REFERENCE	Ash Wednesday	poem	InformationEntity
BOOK#REFERENCE	Athenaeus of Attalia	human	Person
BOOK#REFERENCE	Bluebeard	literary work	InformationEntity
BOOK#REFERENCE	Bradshaw's Guide	periodical	InformationEntity
BOOK#REFERENCE	Cavendish, or, The Patrician at Sea	literary work	InformationEntity
BOOK#REFERENCE	Charles Darwin	human	Person
BOOK#REFERENCE	Charles Wilkes	human	Person
BOOK#REFERENCE	Childe Harold's Pilgrimage	poem in alexandrines	InformationEntity
BOOK#REFERENCE	Cyrus West Field	human	Person
BOOK#REFERENCE	David Copperfield	written work	InformationEntity
BOOK#REFERENCE	Desire Under the Elms	literary work	InformationEntity
BOOK#REFERENCE	Dombey and Son	literary work	InformationEntity
BOOK#REFERENCE	Edward Bransfield	human	Person
BOOK#REFERENCE	Essays, Philosophical, Historical, and Literary	literary work	InformationEntity
BOOK#REFERENCE	Evelyn Hope	poem	InformationEntity
BOOK#REFERENCE	First Alcibiades	Platonic dialogue	InformationEntity
BOOK#REFERENCE	George Washington	human	Person
BOOK#REFERENCE	Gerontion	poem	InformationEntity
BOOK#REFERENCE	God Rest You Merry, Gentlemen	musical work/composition	InformationEntity
BOOK#REFERENCE	Greek mythology	mythology	Topic
BOOK#REFERENCE	Henri Milne-Edwards	human	Person
BOOK#REFERENCE	Home of the Gentry	literary work	InformationEntity
BOOK#REFERENCE	Homer	human whose existence is disputed	Person
BOOK#REFERENCE	In Search of Lost Time	book series	InformationEntity
BOOK#REFERENCE	James Clark Ross	human	Person
BOOK#REFERENCE	John Brown	human	Person
BOOK#REFERENCE	Kate Kearney	musical work/composition	InformationEntity
BOOK#REFERENCE	Land of the Leal	musical work/composition	InformationEntity
BOOK#REFERENCE	Letters to Benjamin Bailey	group of works	InformationEntity
BOOK#REFERENCE	Little Dorrit	literary work	InformationEntity
BOOK#REFERENCE	Little Women	literary work	InformationEntity
BOOK#REFERENCE	London	poem	InformationEntity
BOOK#REFERENCE	Love Between Brothers and Sisters	poem	InformationEntity
BOOK#REFERENCE	Love's Labour's Lost	dramatic work	InformationEntity
BOOK#REFERENCE	Léon Foucault	human	Person
BOOK#REFERENCE	Mabel on Midsummer Day: A Story of the Olden Time	poem	InformationEntity
BOOK#REFERENCE	Mary Stuart	written work	InformationEntity
BOOK#REFERENCE	Mr. Pim Passes By	literary work	InformationEntity
BOOK#REFERENCE	Mutability	version, edition, or translation	InformationEntity
BOOK#REFERENCE	Nevermore	literary work	InformationEntity
BOOK#REFERENCE	Norna; or, The Witch's Curse	literary work	InformationEntity
BOOK#REFERENCE	Nothing to Wear	poem	InformationEntity
BOOK#REFERENCE	On Women	written work	InformationEntity
BOOK#REFERENCE	One Thousand and One Nights	literary work	InformationEntity
BOOK#REFERENCE	Parallel Lives	literary work	InformationEntity
BOOK#REFERENCE	Physical Geography Of The Sea 1855	version, edition, or translation	InformationEntity
BOOK#REFERENCE	Pliny the Elder	human	Person
BOOK#REFERENCE	Possessed	film	InformationEntity
BOOK#REFERENCE	Psyche Revived by Cupid's Kiss	sculpture	PhysicalObject
BOOK#REFERENCE	Rubáiyát of Omar Khayyám	written work	InformationEntity
BOOK#REFERENCE	See the conqu'ring hero comes!	musical work/composition	InformationEntity
BOOK#REFERENCE	Sermons to Young Women	literary work	InformationEntity
BOOK#REFERENCE	Sintram and His Companions	literary work	InformationEntity
BOOK#REFERENCE	Sleeping Beauty	folktale type	InformationEntity
BOOK#REFERENCE	Soliloquy of the Spanish Cloister	poem	InformationEntity
BOOK#REFERENCE	Speed the Plough	literary work	InformationEntity
BOOK#REFERENCE	Strange Case of Dr Jekyll and Mr Hyde	literary work	InformationEntity
BOOK#REFERENCE	The Acharnians	dramatic work	InformationEntity
BOOK#REFERENCE	The Age of Innocence	painting	PhysicalObject
BOOK#REFERENCE	The Birth of Venus	painting	PhysicalObject
BOOK#REFERENCE	The Blue Bird	literary work	InformationEntity
BOOK#REFERENCE	The Bracelet of Memory	literary work	InformationEntity
BOOK#REFERENCE	The Contention of Ajax and Ulysses	literary work	InformationEntity
BOOK#REFERENCE	The Cricket on the Hearth	literary work	InformationEntity
BOOK#REFERENCE	The Death-Bed	poem	InformationEntity
BOOK#REFERENCE	The Deserted Village	literary work	InformationEntity
BOOK#REFERENCE	The Dog in the Manger	fable	InformationEntity
BOOK#REFERENCE	The Double	literary work	InformationEntity
BOOK#REFERENCE	The Emperor's New Clothes	literary work	InformationEntity
BOOK#REFERENCE	The Giaour	poem	InformationEntity
BOOK#REFERENCE	The Heir of Redclyffe	literary work	InformationEntity
BOOK#REFERENCE	The History of Rasselas, Prince of Abissinia	written work	InformationEntity
BOOK#REFERENCE	The Life and Opinions of Tristram Shandy, Gentleman	literary work	InformationEntity
BOOK#REFERENCE	The Life of Samuel Johnson	written work	InformationEntity
BOOK#REFERENCE	The Little Mermaid	fairy tale	InformationEntity
BOOK#REFERENCE	The Masked Marriage. A Tale of Venice	literary work	InformationEntity
BOOK#REFERENCE	The Narrative of Arthur Gordon Pym of Nantucket	literary work	InformationEntity
BOOK#REFERENCE	The North Wind and the Sun	fable	InformationEntity
BOOK#REFERENCE	The Old Man of the Sea: A Nightmare Dream by Daylight	poem	InformationEntity
BOOK#REFERENCE	The Pickwick Papers	serialized fiction	InformationEntity
BOOK#REFERENCE	The Pilgrim's Progress	literary work	InformationEntity
BOOK#REFERENCE	The Rainy Day	poem	InformationEntity
BOOK#REFERENCE	The Rime of the Ancient Mariner	poem	InformationEntity
BOOK#REFERENCE	The Rival Painters: A Tale of Rome	literary work	InformationEntity
BOOK#REFERENCE	The Ruins: or a Survey of the Revolutions of Empires	literary work	InformationEntity
BOOK#REFERENCE	The School for Scandal	dramatic work	InformationEntity
BOOK#REFERENCE	The Sea Lion	literary work	InformationEntity
BOOK#REFERENCE	The Sea Lions	literary work	InformationEntity
BOOK#REFERENCE	The Star	version, edition, or translation	InformationEntity
BOOK#REFERENCE	The Steadfast Tin Soldier	fairy tale	InformationEntity
BOOK#REFERENCE	The Taming of the Shrew	dramatic work	InformationEntity
BOOK#REFERENCE	The Toodles: Or, The Farmer's Daughter of the Severn Side	literary work	InformationEntity
BOOK#REFERENCE	The Tragical History of Doctor Faustus	literary work	InformationEntity
BOOK#REFERENCE	The Vicar of Wakefield	literary work	InformationEntity
BOOK#REFERENCE	The Wide, Wide World	literary work	InformationEntity
BOOK#REFERENCE	The Works of Ossian	literary work	InformationEntity
BOOK#REFERENCE	The Young Housekeeper's Friend	written work	InformationEntity
BOOK#REFERENCE	The sorrows of young Werther	diary literature	InformationEntity
BOOK#REFERENCE	Theopompus	human	Person
BOOK#REFERENCE	Three Little Kittens	poem	InformationEntity
BOOK#REFERENCE	To An Athlete Dying Young	poem	InformationEntity
BOOK#REFERENCE	Tom Brown's School Days	literary work	InformationEntity
BOOK#REFERENCE	Treasure Island	literary work	InformationEntity
BOOK#REFERENCE	Trees	poem	InformationEntity
BOOK#REFERENCE	Ulysses	literary work	InformationEntity
BOOK#REFERENCE	Wallenstein's Death	literary work	InformationEntity
BOOK#REFERENCE	Whistler's Mother	painting	PhysicalObject
BOOK#REFERENCE	William Shakespeare	human	Person
BOOK#REFERENCE	Yorick and the Grisette	painting	PhysicalObject
BOOK#REFERENCE	canon of Sherlock Holmes	bibliography	InformationEntity
BOOK#REFERENCE	here be dragons	Latin phrase	InformationEntity
BOOK#REFERENCE	philosopher's stone	literary work	InformationEntity
BOOK#REFERENCE	psychoanalysis	specialty	Topic
BOOK#TITLE	16 Lighthouse Road	title	InformationEntity
BOOK#TITLE	4:50 from Paddington	title	InformationEntity
BOOK#TITLE	A Brief History of Time	title	InformationEntity
BOOK#TITLE	A Child's History of England	title	InformationEntity
BOOK#TITLE	A Christmas Carol	title	InformationEntity
BOOK#TITLE	A Clash of Kings	title	InformationEntity
BOOK#TITLE	A Clockwork Orange	title	InformationEntity
BOOK#TITLE	A Connecticut Yankee in King Arthur's Court	title	InformationEntity
BOOK#TITLE	A Doll's House	title	InformationEntity
BOOK#TITLE	A Feast for Crows	title	InformationEntity
BOOK#TITLE	A Final Reckoning	title	InformationEntity
BOOK#TITLE	A Game of Thrones	title	InformationEntity
BOOK#TITLE	A Little Princess	title	InformationEntity
BOOK#TITLE	A Long Way Gone	title	InformationEntity
BOOK#TITLE	A Midsummer Night's Dream	title	InformationEntity
BOOK#TITLE	A People's History of the United States	title	InformationEntity
BOOK#TITLE	A Portrait of the Artist as a Young Man	title	InformationEntity
BOOK#TITLE	A Princess of Mars	title	InformationEntity
BOOK#TITLE	A Prisoner of Birth	title	InformationEntity
BOOK#TITLE	A Room of One's Own	title	InformationEntity
BOOK#TITLE	A Room with a View	title	InformationEntity
BOOK#TITLE	A Storm of Swords	title	InformationEntity
BOOK#TITLE	A Study in Scarlet	title	InformationEntity
BOOK#TITLE	A Tale of Two Cities	title	InformationEntity
BOOK#TITLE	A Thousand Splendid Suns	title	InformationEntity
BOOK#TITLE	A Vindication of Rights of Woman	title	InformationEntity
BOOK#TITLE	A Walk in the Woods	title	InformationEntity
BOOK#TITLE	A history of New York	title	InformationEntity
BOOK#TITLE	A strange disappearance	title	InformationEntity
BOOK#TITLE	A town like Alice	title	InformationEntity
BOOK#TITLE	Acres of diamonds	title	InformationEntity
BOOK#TITLE	Adventures of Huckleberry Finn	title	InformationEntity
BOOK#TITLE	Age of fable	title	InformationEntity
BOOK#TITLE	Alice's Adventures in Wonderland	title	InformationEntity
BOOK#TITLE	Alice's Adventures in Wonderland / Through the Looking Glass	title	InformationEntity
BOOK#TITLE	All the Light We Cannot See	title	InformationEntity
BOOK#TITLE	All's Well That Ends Well	title	InformationEntity
BOOK#TITLE	Amazing Grace	title	InformationEntity
BOOK#TITLE	American Gods	title	InformationEntity
BOOK#TITLE	American notes	title	InformationEntity
BOOK#TITLE	An English translation of Parsifal, the sacred festival drama by Richard Wagner	title	InformationEntity
BOOK#TITLE	An Old-Fashioned Girl	title	InformationEntity
BOOK#TITLE	An autobiography	title	InformationEntity
BOOK#TITLE	And Then There Were None	title	InformationEntity
BOOK#TITLE	And the Mountains Echoed	title	InformationEntity
BOOK#TITLE	Animal Farm	title	InformationEntity
BOOK#TITLE	Aphrodite (ancient manners)	title	InformationEntity
BOOK#TITLE	Arms and the Man	title	InformationEntity
BOOK#TITLE	Artemis Fowl and the Arctic Incident	title	InformationEntity
BOOK#TITLE	Artemis Fowl and the Eternity Code	title	InformationEntity
BOOK#TITLE	Artemis Fowl. The Lost Colony	title	InformationEntity
BOOK#TITLE	Artemis Fowl. The Opal Deception	title	InformationEntity
BOOK#TITLE	As You Like It	title	InformationEntity
BOOK#TITLE	At Fault	title	InformationEntity
BOOK#TITLE	At Home	title	InformationEntity
BOOK#TITLE	At The Earth's Core And Out Of Time's Abyss	title	InformationEntity
BOOK#TITLE	Autobiography	title	InformationEntity
BOOK#TITLE	Autobiography of a Yogi	title	InformationEntity
BOOK#TITLE	Autobiography of an Ex-Colored Man	title	InformationEntity
BOOK#TITLE	Back on Blossom Street	title	InformationEntity
BOOK#TITLE	Back to Methuselah	title	InformationEntity
BOOK#TITLE	Bad Luck and Trouble	title	InformationEntity
BOOK#TITLE	Barchester Towers	title	InformationEntity
BOOK#TITLE	Becoming	title	InformationEntity
BOOK#TITLE	Beloved	title	InformationEntity
BOOK#TITLE	Between the Acts	title	InformationEntity
BOOK#TITLE	Big Nate	title	InformationEntity
BOOK#TITLE	Bleak House	title	InformationEntity
BOOK#TITLE	Book of common prayer	title	InformationEntity
BOOK#TITLE	Bracebridge Hall	title	InformationEntity
BOOK#TITLE	Brave New World	title	InformationEntity
BOOK#TITLE	Breaking Dawn	title	InformationEntity
BOOK#TITLE	Brida	title	InformationEntity
BOOK#TITLE	Bring Up the Bodies	title	InformationEntity
BOOK#TITLE	Burning Daylight	title	InformationEntity
BOOK#TITLE	Bury My Heart at Wounded Knee	title	InformationEntity
BOOK#TITLE	Captains Courageous	title	InformationEntity
BOOK#TITLE	Captivity and Restoration	title	InformationEntity
BOOK#TITLE	Catch-22	title	InformationEntity
BOOK#TITLE	Catching Fire	title	InformationEntity
BOOK#TITLE	Cell	title	InformationEntity
BOOK#TITLE	Charlie and the Chocolate Factory	title	InformationEntity
BOOK#TITLE	Childhood Annotated	title	InformationEntity
BOOK#TITLE	Christmas Books (Battle of Life / Chimes / Christmas Carol / Cricket on the Hearth / Haunted Man)	title	InformationEntity
BOOK#TITLE	Christmas Carol	title	InformationEntity
BOOK#TITLE	Commentaries on the laws of England	title	InformationEntity
BOOK#TITLE	Committed	title	InformationEntity
BOOK#TITLE	Cranford	title	InformationEntity
BOOK#TITLE	Cross	title	InformationEntity
BOOK#TITLE	Dark Places	title	InformationEntity
BOOK#TITLE	Daughter of Smoke and Bone	title	InformationEntity
BOOK#TITLE	David Copperfield	title	InformationEntity
BOOK#TITLE	Dead Until Dark (Sookie Stackhouse, #1)	title	InformationEntity
BOOK#TITLE	Death Comes for the Archbishop	title	InformationEntity
BOOK#TITLE	Death comes to Pemberley	title	InformationEntity
BOOK#TITLE	Death on the Nile	title	InformationEntity
BOOK#TITLE	Deception Point	title	InformationEntity
BOOK#TITLE	Democracy	title	InformationEntity
BOOK#TITLE	Dialogues Concerning Natural Religion	title	InformationEntity
BOOK#TITLE	Diana, Her True Story	title	InformationEntity
BOOK#TITLE	Die Trying	title	InformationEntity
BOOK#TITLE	Divina Commedia	title	InformationEntity
BOOK#TITLE	Dog Days	title	InformationEntity
BOOK#TITLE	Dombey and Son	title	InformationEntity
BOOK#TITLE	Dorothy and the Wizard in Oz	title	InformationEntity
BOOK#TITLE	Dreams from My Father	title	InformationEntity
BOOK#TITLE	Drop Shot	title	InformationEntity
BOOK#TITLE	Dubliners	title	InformationEntity
BOOK#TITLE	Duma Key	title	InformationEntity
BOOK#TITLE	Eat, Pray, Love	title	InformationEntity
BOOK#TITLE	Echo Burning	title	InformationEntity
BOOK#TITLE	Edge of Eternity	title	InformationEntity
BOOK#TITLE	Educated	title	InformationEntity
BOOK#TITLE	Elizabeth and Her German Garden	title	InformationEntity
BOOK#TITLE	Emile or Education	title	InformationEntity
BOOK#TITLE	Ender's Game	title	InformationEntity
BOOK#TITLE	Essay concerning human understanding	title	InformationEntity
BOOK#TITLE	Esther Waters, a novel	title	InformationEntity
BOOK#TITLE	Fairy Tales and Stories	title	InformationEntity
BOOK#TITLE	Fall of Giants	title	InformationEntity
BOOK#TITLE	Familiar quotations; a collection of passages, phrases, and proverbs traced to their sources in ancient and modern literature	title	InformationEntity
BOOK#TITLE	Family ties	title	InformationEntity
BOOK#TITLE	Fantastic Mr Fox	title	InformationEntity
BOOK#TITLE	Far From the Madding Crowd	title	InformationEntity
BOOK#TITLE	Feet of Clay	title	InformationEntity
BOOK#TITLE	Fifty Shades Freed	title	InformationEntity
BOOK#TITLE	Fifty Shades of Grey	title	InformationEntity
BOOK#TITLE	Finders Keepers	title	InformationEntity
BOOK#TITLE	Five Children and It	title	InformationEntity
BOOK#TITLE	Flappers and Philosophers	title	InformationEntity
BOOK#TITLE	Flower Fables	title	InformationEntity
BOOK#TITLE	For Whom the Bell Tolls	title	InformationEntity
BOOK#TITLE	Framley Parsonage	title	InformationEntity
BOOK#TITLE	France at War: On the Frontier of Civilization	title	InformationEntity
BOOK#TITLE	Frankenstein or The Modern Prometheus	title	InformationEntity
BOOK#TITLE	Frog and Toad Are Friends	title	InformationEntity
BOOK#TITLE	Full Dark, No Stars	title	InformationEntity
BOOK#TITLE	Further chronicles of Avonlea	title	InformationEntity
BOOK#TITLE	Germinal	title	InformationEntity
BOOK#TITLE	Go Set A Watchman	title	InformationEntity
BOOK#TITLE	Goldsmith's The vicar of Wakefield	title	InformationEntity
BOOK#TITLE	Gone Girl	title	InformationEntity
BOOK#TITLE	Gone With the Wind	title	InformationEntity
BOOK#TITLE	Good Omens	title	InformationEntity
BOOK#TITLE	Goodnight Moon	title	InformationEntity
BOOK#TITLE	Gratitude Journal for Kids	title	InformationEntity
BOOK#TITLE	Great Expectations	title	InformationEntity
BOOK#TITLE	Greenmantle	title	InformationEntity
BOOK#TITLE	Guards! Guards!	title	InformationEntity
BOOK#TITLE	Gulliver's Travels	title	InformationEntity
BOOK#TITLE	H Is for Hawk	title	InformationEntity
BOOK#TITLE	Hard Times	title	InformationEntity
BOOK#TITLE	Harry Potter and the Chamber of Secrets	title	InformationEntity
BOOK#TITLE	Harry Potter and the Deathly Hallows	title	InformationEntity
BOOK#TITLE	Harry Potter and the Goblet of Fire	title	InformationEntity
BOOK#TITLE	Harry Potter and the Half-Blood Prince	title	InformationEntity
BOOK#TITLE	Harry Potter and the Order of the Phoenix	title	InformationEntity
BOOK#TITLE	Harry Potter and the Philosopher's Stone	title	InformationEntity
BOOK#TITLE	Harry Potter and the Prisoner of Azkaban	title	InformationEntity
BOOK#TITLE	Hateship, Friendship, Courtship, Loveship, Marriage	title	InformationEntity
BOOK#TITLE	Have a little faith	title	InformationEntity
BOOK#TITLE	Heart of Darkness	title	InformationEntity
BOOK#TITLE	His Last Bow [8 stories]	title	InformationEntity
BOOK#TITLE	History	title	InformationEntity
BOOK#TITLE	History of the Decline and Fall of the Roman Empire Complete and Unabridged	title	InformationEntity
BOOK#TITLE	Hold the dream	title	InformationEntity
BOOK#TITLE	Homegoing	title	InformationEntity
BOOK#TITLE	Honor Thyself	title	InformationEntity
BOOK#TITLE	Hospital Sketches	title	InformationEntity
BOOK#TITLE	How to train your dragon	title	InformationEntity
BOOK#TITLE	Huntingtower	title	InformationEntity
BOOK#TITLE	I Know Why the Caged Bird Sings	title	InformationEntity
BOOK#TITLE	Idle Thoughts of an Idle Fellow	title	InformationEntity
BOOK#TITLE	Imitation of Christ	title	InformationEntity
BOOK#TITLE	In the Days of Drake	title	InformationEntity
BOOK#TITLE	In the Heart of the Sea	title	InformationEntity
BOOK#TITLE	Incidents in the life of a slave girl	title	InformationEntity
BOOK#TITLE	Island of Sheep, the	title	InformationEntity
BOOK#TITLE	It	title	InformationEntity
BOOK#TITLE	It Ends With Us	title	InformationEntity
BOOK#TITLE	Jack and Jill: a village story	title	InformationEntity
BOOK#TITLE	Jacob's Room	title	InformationEntity
BOOK#TITLE	James and the Giant Peach	title	InformationEntity
BOOK#TITLE	Jo's Boys	title	InformationEntity
BOOK#TITLE	Jude the Obscure	title	InformationEntity
BOOK#TITLE	Just After Sunset	title	InformationEntity
BOOK#TITLE	Just So Stories	title	InformationEntity
BOOK#TITLE	Just kids	title	InformationEntity
BOOK#TITLE	Kenilworth	title	InformationEntity
BOOK#TITLE	Kidnapped	title	InformationEntity
BOOK#TITLE	Killing floor	title	InformationEntity
BOOK#TITLE	King Henry IV. Part 1	title	InformationEntity
BOOK#TITLE	King Henry IV. Part 2	title	InformationEntity
BOOK#TITLE	King Henry VI. Part 1	title	InformationEntity
BOOK#TITLE	King Henry VI. Part 2	title	InformationEntity
BOOK#TITLE	King Henry VI. Part 3	title	InformationEntity
BOOK#TITLE	King Henry VIII	title	InformationEntity
BOOK#TITLE	King Richard II	title	InformationEntity
BOOK#TITLE	Leaves of Grass	title	InformationEntity
BOOK#TITLE	Life of Pi	title	InformationEntity
BOOK#TITLE	Life of Samuel Johnson	title	InformationEntity
BOOK#TITLE	Life on the Mississippi	title	InformationEntity
BOOK#TITLE	Light a Penny Candle	title	InformationEntity
BOOK#TITLE	Little Dorrit	title	InformationEntity
BOOK#TITLE	Little Lord Fauntleroy	title	InformationEntity
BOOK#TITLE	Little Women	title	InformationEntity
BOOK#TITLE	Little men	title	InformationEntity
BOOK#TITLE	Lives	title	InformationEntity
BOOK#TITLE	Long Walk to Freedom	title	InformationEntity
BOOK#TITLE	Lord of Flies	title	InformationEntity
BOOK#TITLE	Lorna Doone (Classics)	title	InformationEntity
BOOK#TITLE	Love's Labour's Lost	title	InformationEntity
BOOK#TITLE	Loving	title	InformationEntity
BOOK#TITLE	Luo ye gui gen (Falling Leaves)	title	InformationEntity
BOOK#TITLE	MAIN STREET	title	InformationEntity
BOOK#TITLE	Man and Superman	title	InformationEntity
BOOK#TITLE	Mansfield Park	title	InformationEntity
BOOK#TITLE	Maria; or, The Wrongs of Woman	title	InformationEntity
BOOK#TITLE	Mayor of Casterbridge	title	InformationEntity
BOOK#TITLE	McTeague	title	InformationEntity
BOOK#TITLE	Me Before You	title	InformationEntity
BOOK#TITLE	Measure for Measure	title	InformationEntity
BOOK#TITLE	Meditations	title	InformationEntity
BOOK#TITLE	Memoirs of Fanny Hill	title	InformationEntity
BOOK#TITLE	Memoirs of Sherlock Holmes [11 stories]	title	InformationEntity
BOOK#TITLE	Metamorphoses	title	InformationEntity
BOOK#TITLE	Middlemarch	title	InformationEntity
BOOK#TITLE	Milton's Poems	title	InformationEntity
BOOK#TITLE	Much Ado About Nothing	title	InformationEntity
BOOK#TITLE	Murder on the Links	title	InformationEntity
BOOK#TITLE	Murder on the Orient Express	title	InformationEntity
BOOK#TITLE	My Sister's Keeper	title	InformationEntity
BOOK#TITLE	My Ántonia	title	InformationEntity
BOOK#TITLE	NEVER GO BACK	title	InformationEntity
BOOK#TITLE	Narrative of the life of Frederick Douglass	title	InformationEntity
BOOK#TITLE	Nation	title	InformationEntity
BOOK#TITLE	Never Cry Wolf	title	InformationEntity
BOOK#TITLE	Never Let Me Go	title	InformationEntity
BOOK#TITLE	Neverwhere	title	InformationEntity
BOOK#TITLE	New Moon	title	InformationEntity
BOOK#TITLE	News from Nowhere, or, An epoch of rest	title	InformationEntity
BOOK#TITLE	Night Watch	title	InformationEntity
BOOK#TITLE	Night and Day	title	InformationEntity
